propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.6601E+13,78746,1105611,1129205,950681,883290,770434
3.55919E+12,78746,1239750,1277718,1025907,930000,852017
5.0639E+12,78746,1306029,1323553,1074128,988497,891101
3.40452E+12,78746,1293748,1331560,1053045,982518,836039
1.6601E+13,78746,989159,1015854,910961,805000,596450
5.07113E+12,78746,1142847,1158244,991335,908404,915871
5.09357E+12,78746,1260252,1260252,1082755,970000,817887
1.42773E+13,78746,1399504,1399504,1039350,881679,803335
3.56695E+12,78746,1109144,1126000,964643,887723,771309
1.6601E+13,78746,1310832,1310832,1089997,994164,899019
1.66832E+13,78746,1095692,1114809,849965,795366,697299
3.42317E+12,78746,1057441,1168205,907306,840182,751068
1.66832E+13,78746,1203773,1245682,1024369,936600,733906
3.4219E+12,78746,1231831,1247502,992460,915887,705840
1.6601E+13,78746,1216575,1227392,1050000,908825,823470
1.44804E+13,78746,1306540,1306540,1065051,980316,873256
5.09284E+12,78746,1354900,1387368,1141818,994563,836217
3.56546E+12,78746,2436401,2452910,1954126,2200291,1934302
3.42062E+12,78746,1522546,1522546,1145775,970000,845715
1.6601E+13,78746,1102119,1102119,878821,815612,619494
1.66832E+13,78746,1083752,1103325,908543,846653,739290
1.66832E+13,78746,1148492,1172666,983005,913768,686907
1.66832E+13,78746,1170697,1170697,1035796,944734,722448
1.6601E+13,78746,996170,1014073,814263,759726,580735
1.6601E+13,78746,1194246,1194248,993784,907834,686327
5.09287E+12,78746,1025804,1029747,850620,799008,722500
1.6601E+13,78746,988984,1009780,868000,797926,727080
3.56698E+12,78746,927020,933122,779482,767153,594264
1.6601E+13,78746,983879,1037796,847060,782110,596759
3.56598E+12,78746,1118889,1118889,843793,777617,599049
1.66833E+13,78746,549192,679211,536710,415000,332465
1.66833E+13,78746,900334,857307,893450,802877,598418
1.66833E+13,78746,1195670,1126714,1277965,1095028,862000
1.66833E+13,78746,547442,526288,553337,500353,343372
4.76961E+12,78746,759845,725307,784811,657170,457369
1.66833E+13,78746,663664,630058,667761,619218,539852
4.45178E+12,78746,824254,768458,861807,800168,539347
1.66833E+13,78746,1306169,1234164,1219691,1117501,836413
1.4529E+13,78746,838379,804005,797339,746501,649873
1.6629E+13,78746,566000,617056,561415,515125,436391
1.6629E+13,78746,744086,701863,669000,635198,486516
1.6629E+13,78746,692429,660990,595634,511980,426702
1.6629E+13,78746,707200,668929,661617,611350,513040
3.14707E+11,78746,746646,713347,711729,654176,538992
1.6629E+13,78746,765330,720830,721857,657579,512358
1.6629E+13,78746,654469,629136,580772,551039,444524
1.44176E+13,78746,575411,558422,548437,514692,435682
4.45476E+12,78746,789043,742001,846606,439063,465840
5.07667E+12,78746,718202,678752,644911,587927,486055
2.49049E+12,78746,655827,623060,569541,522211,413576
4.7716E+12,78746,647000,656815,625222,572041,460167
1.6629E+13,78746,708091,699625,652657,601341,493107
3.4112E+12,78746,595623,563145,528773,487000,363500
4.45483E+12,78746,771625,726451,739463,655453,456211
3.14656E+11,78746,716065,676844,661754,593328,496648
1.6629E+13,78746,596600,627277,565326,525920,414116
1.51026E+13,78746,681630,638496,594719,644284,517718
8.53478E+11,78746,663872,624653,624131,594079,517857
1.35435E+12,78746,832787,757112,770958,700392,561051
1.6629E+13,78746,656784,680383,637118,577707,479956
1.66698E+13,78746,703349,665632,636870,623053,539985
1.6629E+13,78746,628979,576100,562083,536444,459123
1.6629E+13,78746,674976,640157,592679,542385,438308
5.07482E+12,78746,645998,593786,567664,521855,418679
3.46083E+12,78746,611460,583084,568571,495884,462906
3.46164E+12,78746,636162,654374,650589,632177,540000
1.44174E+13,78746,736790,695348,648914,580188,440000
1.6629E+13,78746,799802,755521,732116,668344,537572
4.46641E+12,78746,720640,711229,670813,617300,524370
1.6629E+13,78746,771616,740987,749000,682287,524577
3.59321E+12,78746,740854,703163,693615,641554,532418
1.44683E+13,78746,978727,920736,866806,763784,704384
1.66698E+13,78746,757687,688742,649945,644725,556209
5.0636E+12,78746,950857,859336,879690,804162,859068
1.44683E+13,78746,759620,771303,775796,697697,525000
1.44683E+13,78746,975707,918042,1014214,745000,773000
1.66698E+13,78746,816704,719763,688360,676551,578229
1.67014E+13,78746,691047,654506,622098,569317,458445
4.17357E+12,78746,607866,583187,521044,509000,435264
1.67014E+13,78746,634105,603665,540407,499370,404229
20623548453,78746,616276,585162,587673,527700,457119
1.65122E+13,78746,778141,732269,717337,651077,553555
1.44683E+13,78746,1035500,887596,866000,793023,725893
3.46169E+12,78746,786215,739477,678365,617097,494558
8.51427E+11,78746,671634,639048,577495,530427,418826
1.6629E+13,78746,773604,587864,544179,501377,407327
1.6601E+13,78746,1015000,838600,719884,687173,595822
5.09629E+12,78746,931944,878935,859476,783305,654197
5.05911E+12,78746,958056,948597,900622,819156,481002
4.4481E+12,78746,1023000,1052256,1069814,1037244,993808
1.6629E+13,78746,704438,666463,638279,583426,494559
1.6629E+13,78746,753285,732000,676697,618204,489079
1.6629E+13,78746,680397,644998,609230,558097,446328
1.6629E+13,78746,865225,843317,800000,712061,656777
1.6629E+13,78746,767947,723167,715019,650337,505794
1.66833E+13,78746,830390,821740,817121,769401,617274
1.66698E+13,78746,667908,638826,657719,581492,500404
4.45957E+12,78746,651515,619210,574330,527667,443039
1.66833E+13,78746,909576,868371,918445,858928,613926
3.42304E+12,78746,757815,714262,722242,658279,532490
1.66698E+13,78746,792902,738095,744938,678067,558540
1.6629E+13,78746,638195,620231,564996,524907,435717
1.66698E+13,78746,848935,795478,812880,735663,583496
1.66698E+13,78746,719750,680134,646781,589558,470218
1.66698E+13,78746,759228,715382,694484,631151,507229
3.14656E+11,78746,654200,677498,663214,606448,464968
8.53478E+11,78746,821118,778142,736685,624889,511532
3.14656E+11,78746,701385,663737,634591,580210,471287
1.6629E+13,78746,842761,799341,764691,592343,527526
1.6629E+13,78746,526948,500490,466396,428178,340709
3.55898E+12,78746,779308,733287,712000,695642,573244
4.45091E+12,78746,1172711,963050,691344,659441,562627
1.6629E+13,78746,736658,708051,667299,620154,525547
5.06356E+12,78746,927669,875151,867287,791428,688216
1.6629E+13,78746,1054949,994417,990644,903212,759982
5.07481E+12,78746,963827,972946,918773,758000,691273
1.44683E+13,78746,722970,683009,650672,592951,476878
1.44683E+13,78746,696450,710093,714394,603231,496567
3.36724E+12,78746,637359,606571,594725,550253,377736
4.76792E+12,78746,736288,713186,695761,656529,541257
4.78433E+12,78746,600885,593272,539227,497060,397916
1.6629E+13,78746,793490,808219,789848,650000,484536
1.66833E+13,78746,890558,832642,895162,872017,606798
4.15673E+12,78746,1006640,901220,902306,850291,767648
1.66833E+13,78746,2131400,2120019,2049353,1920266,1896616
3.55427E+12,78746,764824,720379,690633,636763,519713
1.66698E+13,78746,775411,744560,736140,658667,483491
3.5537E+12,78746,887600,883000,916812,833008,675765
4.44508E+12,78746,588709,551416,425871,369729,346067
1.6629E+13,78746,700267,662737,643237,589029,473952
2.77347E+12,78746,761328,717257,680863,620555,516041
1.66698E+13,78746,708799,670357,653549,598021,507200
1.67014E+13,78746,739916,698140,691149,630805,542696
1.6629E+13,78746,702404,664645,645819,591281,505923
1.65122E+13,78746,660983,578032,542000,494000,417374
1.487E+13,78746,908900,858393,765100,700727,512160
3.56553E+12,78746,828834,786904,735360,674797,550031
4.76792E+12,78746,995004,1013639,977808,849590,790500
3.42209E+12,78746,725430,689446,675128,625568,497844
5.24189E+12,78746,964585,934086,917379,829457,686300
5.03152E+11,78746,717947,656434,605850,579741,443798
1.6629E+13,78746,640100,610893,549892,507704,414885
1.6629E+13,78746,778479,732571,727745,614901,583585
2.77347E+12,78746,590246,612704,537544,525018,418245
1.6629E+13,78746,747584,704986,690414,628883,476198
1.6629E+13,78746,888643,838431,718000,745749,640759
1.6629E+13,78746,760000,800000,1061206,965490,617437
3.14656E+11,78746,858894,850513,883835,803468,554000
1.6629E+13,78746,648604,592252,557266,502212,461386
4.77241E+12,78746,754636,649969,625957,573963,456892
5.05909E+12,78746,868973,710220,633925,608494,505307
1.6629E+13,78746,820272,769886,569698,588845,496624
1.6629E+13,78746,832151,769126,804408,747959,615210
3.55426E+12,78746,925205,869201,708956,645413,527094
1.65122E+13,78746,703454,659609,629004,575339,462345
1.66698E+13,78746,960500,903352,873000,782198,533768
5.03152E+11,78746,908293,848476,884604,798201,636131
1.4091E+13,78746,827493,767018,737889,672967,592520
3.14656E+11,78746,631312,630813,612750,555648,472225
1.40029E+12,78746,768046,574885,601812,554781,443914
1.6629E+13,78746,612428,584311,537100,496486,439978
1.6629E+13,78746,921477,865873,889929,808352,737570
1.65122E+13,78746,683277,682710,706327,612859,495046
1.65122E+13,78746,629396,574182,567484,550396,459564
5.06364E+12,78746,533829,538166,464651,429766,353255
5.03152E+11,78746,753658,829606,793150,665581,578162
1.6629E+13,78746,862491,821642,748164,689163,573058
2.77347E+12,78746,783209,746169,705231,651729,544230
4.18455E+12,78746,967792,707489,713802,687195,602404
1.66698E+13,78746,883705,830413,833508,756702,667665
5.09423E+12,78746,751116,711889,662390,605729,484828
2.77347E+12,78746,638100,624964,572117,524457,444724
82498248453,78746,762500,768022,790091,722774,529531
4.15724E+12,78746,649853,617726,578391,535917,431047
2.77347E+12,78746,685739,655497,659962,602331,482717
1.66698E+13,78746,671722,637252,608747,558957,480074
3.56555E+12,78746,1085432,1017886,1008049,915570,746905
1.6629E+13,78746,986000,997256,1019853,925862,809106
1.40029E+12,78746,819827,776988,747124,609148,545000
3.38317E+12,78746,872818,826177,768134,704974,613316
3.54694E+12,78746,785000,752987,714209,696463,577562
1.6629E+13,78746,1320738,1231594,1277378,1242959,1112712
1.66698E+13,78746,632300,662980,643566,589316,465049
1.6629E+13,78746,633000,633000,603110,513415,421752
2.77347E+12,78746,722704,686521,617058,564795,485219
5.06822E+12,78746,746917,708141,657317,595125,487240
3.56451E+12,78746,601285,614734,536258,495752,403281
1.6629E+13,78746,559704,533486,446634,456228,364035
1.6629E+13,78746,625649,596116,533076,490416,394765
1.44683E+13,78746,863419,827160,723923,671549,559745
1.6629E+13,78746,710330,632850,653919,617650,559746
1.6629E+13,78746,712960,664761,617369,607574,491759
1.6629E+13,78746,630000,669908,577143,537554,426454
1.66698E+13,78746,767405,707755,714161,634921,590976
1.6629E+13,78746,1075072,992154,1077941,988136,845808
1.02675E+12,78746,882675,886045,899665,821747,700886
1.6629E+13,78746,1017711,1013147,1054345,950702,872542
1.66698E+13,78746,963464,911653,879575,860266,756616
3.46114E+12,78746,887272,829708,879204,796055,630274
1.66698E+13,78746,825506,774559,784569,710979,598487
1.67014E+13,78746,869068,862917,842502,773160,666203
1.6629E+13,78746,798000,785393,721631,665921,577250
3.14656E+11,78746,756643,754459,754000,662691,564201
20677148453,78746,677697,642587,615968,591400,499000
1.67014E+13,78746,944889,937057,967105,873128,778717
5.05983E+12,78746,810081,736947,802993,727044,622943
1.67014E+13,78746,901763,895046,878292,797689,676361
2.97874E+12,78746,1184104,1186956,1242976,1093000,1011897
5.06381E+12,78746,1036217,985011,1017346,987864,833269
3.37499E+12,78746,863936,881325,849773,823962,681377
4.76222E+12,78746,674578,712253,700249,637459,552905
1.66698E+13,78746,659317,626176,573758,525887,416812
1.66698E+13,78746,675162,640324,622904,572582,462125
4.44293E+12,78746,894576,902682,852000,792235,631664
3.37506E+12,78746,736595,743138,734294,695589,500966
1.66698E+13,78746,879059,860936,901467,812904,682546
1.65122E+13,78746,651776,650693,616938,564818,449100
1.6629E+13,78746,1535466,1528625,1414856,1332763,1008723
1.65122E+13,78746,705375,661377,640569,601127,514049
1.40029E+12,78746,488894,462556,454108,431864,360515
4.77723E+12,78746,598209,569710,510521,469825,393026
4.75941E+12,78746,652500,623312,610751,561220,447938
5.08049E+12,78746,940875,940000,828470,751752,677300
3.14656E+11,78746,704502,670257,657731,601633,496159
3.14656E+11,78746,698031,554809,479972,444250,418637
8.53479E+11,78746,762537,718337,688483,596712,402697
1.66698E+13,78746,809126,766046,773049,707225,616225
1.65122E+13,78746,667567,645833,607774,571380,487147
3.14655E+11,78746,740757,649500,595647,547535,434133
2.77347E+12,78746,961960,954389,937969,845895,727302
1.65122E+13,78746,667406,631524,594678,542848,455668
5.2361E+12,78746,890364,873860,781972,678856,672367
4.15169E+12,78746,701616,663943,586831,541645,449911
1.65122E+13,78746,755915,712424,690480,627660,521064
3.54874E+12,78746,694118,666344,598569,552836,469984
3.37197E+12,78746,953919,942983,885000,771194,697752
4.76792E+12,78746,779022,733055,738401,672005,480837
1.67014E+13,78746,1429643,1427482,1225715,1195797,838175
5.07536E+12,78746,2015492,924556,468750,468750,656250
1.6629E+13,78746,907040,913957,845000,846787,724679
1.4803E+13,78746,660626,670333,619548,582614,475632
1.65122E+13,78746,714520,675464,660461,604048,489805
1.66698E+13,78746,1402833,1352063,1652266,1470232,1145951
3.14656E+11,78746,633800,654748,642425,589602,465874
1.67014E+13,78746,1067707,1070820,1116801,1014210,796525
4.45001E+12,78746,706101,667948,650289,545154,448071
1.65122E+13,78746,626515,611742,545808,522139,451767
1.67014E+13,78746,852466,846175,828206,752713,633556
3.57257E+12,78746,2654381,2782924,2718109,2675967,2601349
1.66698E+13,78746,722325,682433,669893,612271,492894
1.6629E+13,78746,921583,874546,819476,751704,620625
