,propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
0,16602200000000.0,78702,473405,276086,345169,291544,209168
1,4442100000000.0,78702,865137,917886,643887,556703,110000
2,5080470000000.0,78702,1047246,1241888,1010125,832768,427969
3,14417500000000.0,78702,2061465,1549421,1073359,889790,1005585
4,2929880000000.0,78702,715305,583486,387576,388557,389373
5,16744800000000.0,78702,517326,423112,276247,238132,265025
6,3000340000000.0,78702,1255673,1229155,480484,149193,110000
7,3370880000000.0,78702,170000,170000,170000,140250,110000
8,3371320000000.0,78702,843101,815108,582872,537661,363920
9,16678700000000.0,78702,364903,321491,312471,266942,163103
10,4759620000000.0,78702,336769,268244,255728,227354,162975
11,16602200000000.0,78702,702175,383757,273726,210351,218054
12,16678700000000.0,78702,654480,790562,683273,603030,463386
13,2777280000000.0,78702,334265,305831,292769,251525,92118
14,16678700000000.0,78702,261104,244127,237001,200978,83090
15,16678700000000.0,78702,336832,280745,270096,230975,111562
16,16678700000000.0,78702,487057,489671,385432,343528,245135
17,16678700000000.0,78702,620357,721529,534237,490896,387954
18,14613400000000.0,78702,364690,291203,279550,239544,189706
19,1159200000000.0,78702,933391,431292,282067,224199,237493
20,14621800000000.0,78702,588304,360357,252195,196756,196130
21,2777280000000.0,78702,752654,613179,558660,621618,505077
22,2777280000000.0,78702,752654,832978,672338,621618,452043
23,3564780000000.0,78702,252453,252453,129800,126353,124111
24,4149960000000.0,78702,307363,269477,259913,221746,103687
25,2777280000000.0,78702,755915,837436,674783,623971,454160
26,15059200000000.0,78702,1057932,615180,616835,616835,588550
27,3566810000000.0,78702,241332,269883,128750,227503,98525
28,16678700000000.0,78702,268369,248294,203750,225640,117890
29,4461490000000.0,78702,639524,669353,500062,450507,374715
30,16678700000000.0,78702,329081,298826,286440,218191,103351
31,16678700000000.0,78702,344897,353489,338730,290742,172382
32,3459900000000.0,78702,787833,689289,602786,602450,429572
33,3592530000000.0,78702,342870,291716,284908,241959,158860
34,20468500000000.0,78702,282685,236129,231218,195737,111102
35,3458720000000.0,78702,321724,288884,288739,254591,159182
36,3373500000000.0,78702,882825,1009643,707552,657845,490546
37,3424970000000.0,78702,391292,343631,315843,249243,194384
38,3424970000000.0,78702,307179,299762,257016,223144,135232
39,16602200000000.0,78702,474110,442301,344513,310408,234786
40,16602200000000.0,78702,394609,331634,316097,272670,191164
41,2986530000000.0,78702,425314,446137,170000,140250,82500
42,2777280000000.0,78702,320019,260837,256320,216048,130772
43,4772690000000.0,78702,679432,511065,350375,263955,281145
44,16602200000000.0,78702,358896,283373,272472,233129,182676
45,1098410000000.0,78702,756938,540071,368753,283951,298367
46,16602200000000.0,78702,328449,242228,235283,199421,135378
47,15233700000000.0,78702,413982,369839,334376,304332,179947
48,16678700000000.0,78702,413237,357017,342845,297293,174698
49,16632600000000.0,78702,395568,365741,306748,270081,191258
50,16632600000000.0,78702,351774,292613,280826,240701,145267
51,16632600000000.0,78702,407590,379175,361948,311787,227897
52,286381000000.0,78702,348531,299366,289812,246404,149422
53,3408410000000.0,78702,600134,600134,374950,369587,346532
54,2980090000000.0,78702,247063,247063,114950,122892,121694
55,20600000000000.0,78702,230432,185356,129892,92422,78320
56,5296280000000.0,78702,339020,256514,248196,211126,152520
57,16602200000000.0,78702,475979,441539,368031,329196,247697
58,16632600000000.0,78702,529554,416186,437721,386787,308154
59,16632600000000.0,78702,294562,252179,246077,209204,98999
60,16632600000000.0,78702,350562,302111,294531,250681,163789
61,14610800000000.0,78702,354931,308015,280478,255634,164520
62,286381000000.0,78702,686200,670319,566973,562756,429922
63,16632600000000.0,78702,402582,404729,385041,280443,169238
64,286381000000.0,78702,315627,317753,303043,261185,116677
65,3424930000000.0,78702,796991,913409,656903,609932,431314
66,5080500000000.0,78702,347499,267971,254967,217262,149022
67,3548030000000.0,78702,436203,390314,311102,277653,209485
68,16602200000000.0,78702,390109,313538,285213,238514,192177
69,16602200000000.0,78702,359915,284750,273644,234192,174963
70,16632600000000.0,78702,566959,603821,458695,414239,296721
71,3403460000000.0,78702,345217,270361,205084,170911,178757
72,2777280000000.0,78702,676133,722019,576855,510488,424576
73,16602200000000.0,78702,375842,304103,316502,261397,199489
74,2490370000000.0,78702,418121,362077,326257,288400,199286
75,3566770000000.0,78702,690173,728175,459988,140250,82500
76,286381000000.0,78702,399442,338165,322000,278021,200713
77,16602200000000.0,78702,334524,270600,259295,222569,164741
78,16678700000000.0,78702,233750,170000,170001,140250,82500
79,286381000000.0,78702,374947,305063,292075,250897,166452
80,3408980000000.0,78702,326879,327933,317217,294685,210267
81,3562130000000.0,78702,406726,348377,324738,281416,235941
82,16678700000000.0,78702,341538,289916,283239,240447,169377
83,286381000000.0,78702,391244,327086,311982,268940,219579
84,3423220000000.0,78702,393173,399776,336644,302900,218467
85,3411230000000.0,78702,306122,267800,260541,222315,114886
86,14610800000000.0,78702,452547,466754,386434,343084,224788
87,286381000000.0,78702,357171,281042,270366,231220,164914
88,4149390000000.0,78702,375562,319025,304697,262337,186166
89,16602200000000.0,78702,739200,690244,595118,586703,389251
90,286381000000.0,78702,405469,346310,329358,284690,202344
91,2777280000000.0,78702,423147,374267,376274,342524,211587
92,16632600000000.0,78702,592484,200000,373439,322202,177275
93,16602200000000.0,78702,308647,249797,245937,224291,157126
94,16632600000000.0,78702,329061,273056,267633,226301,137028
95,14417600000000.0,78702,478121,444434,417545,364967,234839
96,2777280000000.0,78702,414382,364645,327646,287997,196772
97,3573470000000.0,78702,409397,381617,364155,312172,229605
98,3380250000000.0,78702,649729,487297,253302,230275,216328
99,2490370000000.0,78702,611348,200000,200000,208593,160475
100,286380000000.0,78702,380332,342341,331774,284438,182665
101,200885000000.0,78702,285765,304286,216979,147267,148460
102,16678800000000.0,78702,455546,481523,449925,391528,322149
103,3556770000000.0,78702,316050,281216,270521,231361,120709
104,5248090000000.0,78702,597186,644519,558138,235327,165621
105,3430110000000.0,78702,628555,942362,653405,504953,430463
106,3371460000000.0,78702,441115,522144,409438,367070,251356
107,5068340000000.0,78702,442417,396239,374488,325594,223823
108,526069000000.0,78702,390907,423872,334570,298826,187562
109,16602200000000.0,78702,376339,306944,293775,252437,186530
110,286380000000.0,78702,572175,588766,459049,411841,280362
111,16632600000000.0,78702,398783,367274,351192,302038,223199
112,15369300000000.0,78702,370216,328670,316299,270412,206146
113,15369300000000.0,78702,411477,393179,373700,280825,232877
114,15369300000000.0,78702,416637,385000,360068,310083,223674
115,82750848453.0,78702,342489,346794,318556,291501,220390
116,819803000000.0,78702,485428,465609,385315,351316,237934
117,3373500000000.0,78702,396578,359576,338298,292792,215511
118,171741000000.0,78702,451079,481160,428084,374173,263258
119,65816148453.0,78702,405556,376427,359464,309535,200644
120,16632600000000.0,78702,4250750,3129311,2106224,1331025,816321
121,4174270000000.0,78702,503263,491302,465215,403759,316777
122,16678700000000.0,78702,337211,284069,277827,235541,144213
123,16678700000000.0,78702,828866,620490,419069,318358,213400
124,16678700000000.0,78702,332054,247100,241374,204942,115781
125,14610800000000.0,78702,398878,367403,351312,302146,194249
126,16678700000000.0,78702,437892,393394,344968,304689,212385
127,3460390000000.0,78702,456536,460940,406163,389681,246425
128,4768780000000.0,78702,412511,346623,337959,292485,203419
129,16602200000000.0,78702,387259,321701,307113,264527,155033
130,3459910000000.0,78702,804344,200001,200000,165000,110000
131,16632600000000.0,78702,302408,281954,273640,234187,124022
